Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,128,10737296,0,True,True,300,-1,-1,-1,-1,-1,-1,407,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
2,96372106,128,10737297,0,True,True,300,-1,-1,-1,-1,-1,-1,359,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
3,96372106,128,10737298,0,True,True,300,-1,-1,-1,-1,-1,-1,249,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
4,96372106,128,10737299,0,True,True,300,-1,-1,-1,-1,-1,-1,359,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
5,96372106,128,10737300,0,True,True,300,-1,-1,-1,-1,-1,-1,353,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
6,96372106,128,10737301,0,True,True,300,-1,-1,-1,-1,-1,-1,903,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
7,96372106,128,10737302,0,True,True,300,-1,-1,-1,-1,-1,-1,383,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
8,96372106,128,10737303,0,True,True,300,-1,-1,-1,-1,-1,-1,531,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
9,96372106,128,10737304,0,True,True,300,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
10,96372106,128,10737305,0,True,True,300,-1,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
11,96372106,128,10737306,0,True,True,300,-1,-1,-1,-1,-1,-1,411,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
12,96372106,128,10737307,0,True,True,300,-1,-1,-1,-1,-1,-1,1005,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
13,96372106,128,10737308,0,True,True,300,-1,-1,-1,-1,-1,-1,213,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
14,96372106,128,10737309,0,True,True,300,-1,-1,-1,-1,-1,-1,555,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
15,96372106,128,10737310,0,True,True,300,-1,-1,-1,-1,-1,-1,487,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
16,96372106,128,10737311,0,True,True,300,-1,-1,-1,-1,-1,-1,661,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
17,96372106,128,10737312,0,True,True,300,-1,-1,-1,-1,-1,-1,803,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
18,96372106,128,10737313,0,True,True,300,-1,-1,-1,-1,-1,-1,271,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
19,96372106,128,10737314,0,True,True,300,-1,-1,-1,-1,-1,-1,335,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
20,96372106,128,10737315,0,True,True,300,-1,-1,-1,-1,-1,-1,319,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
