Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,64,10737296,0,True,True,300,-1,-1,-1,-1,-1,-1,243,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
2,96372106,64,10737297,0,True,True,300,-1,-1,-1,-1,-1,-1,899,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
3,96372106,64,10737298,0,True,True,300,-1,-1,-1,-1,-1,-1,155,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
4,96372106,64,10737299,0,True,True,300,-1,-1,-1,-1,-1,-1,477,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
5,96372106,64,10737300,0,True,True,300,-1,-1,-1,-1,-1,-1,1669,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
6,96372106,64,10737301,0,True,True,300,-1,-1,-1,-1,-1,-1,1643,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
7,96372106,64,10737302,0,True,True,300,-1,-1,-1,-1,-1,-1,425,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
8,96372106,64,10737303,0,True,True,300,-1,-1,-1,-1,-1,-1,383,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
9,96372106,64,10737304,0,True,True,300,-1,-1,-1,-1,-1,-1,1471,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
10,96372106,64,10737305,0,True,True,300,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
11,96372106,64,10737306,0,True,True,300,-1,-1,-1,-1,-1,-1,937,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
12,96372106,64,10737307,0,True,True,300,-1,-1,-1,-1,-1,-1,226,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
13,96372106,64,10737308,0,True,True,300,-1,-1,-1,-1,-1,-1,533,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
14,96372106,64,10737309,0,True,True,300,-1,-1,-1,-1,-1,-1,543,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
15,96372106,64,10737310,0,True,True,300,-1,-1,-1,-1,-1,-1,905,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
16,96372106,64,10737311,0,True,True,300,-1,-1,-1,-1,-1,-1,188,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
17,96372106,64,10737312,0,True,True,300,-1,-1,-1,-1,-1,-1,523,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
18,96372106,64,10737313,0,True,True,300,-1,-1,-1,-1,-1,-1,437,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
19,96372106,64,10737314,0,True,True,300,-1,-1,-1,-1,-1,-1,1289,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
20,96372106,64,10737315,0,True,True,300,-1,-1,-1,-1,-1,-1,2193,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
